Gene,B cells,Cytotoxic T cells,CD4 T cells,Tfh,other
MDS2,1,1,1,1,1
RPL11,1,1,1,1,1
TCEB3,1,1,1,1,1
TCEB3-AS1,1,1,1,1,1
PITHD1,1,1,1,1,1
LYPLA2,1,1,1,1,1
GALE,1,1,1,1,1
HMGCL,1,1,1,1,1
FUCA1,1,1,1,1,1
CNR2,1,1,1,1,1
RP11-4M23.3,1,1,1,1,1
PNRC2,1,1,1,1,1
SRSF11,1,1,1,1,1
RP11-293P21.2,1,1,1,1,1
MYOM3,1,1,1,1,1
RP11-293P21.4,1,1,1,1,1
IL22RA1,1,1,1,1,1
IFNLR1,1,1,1,1,1
RP11-11N16.2,1,1,1,1,1
RP11-11N16.3,1,1,1,1,1
GRHL3,1,1,1,1,1
STPG1,1,1,1,1,1
NIPAL3,1,1,1,1,1
RCAN3,1,1,1,1,1
RP4-594I11.3,1,1,1,1,1
NCMAP,1,1,1,1,1
SRRM1,1,1,1,1,1
CLIC4,1,1,1,1,1
RUNX3,1,1,1,1,1
RP11-84D1.1,1,1,1,1,1
RP11-84D1.2,1,1,1,1,1
RP4-799D16.1,1,1,1,1,1
RP4-716G24.1,1,1,1,1,1
SYF2,1,1,1,1,1
RSRP1,1,1,1,1,1
RP3-465N24.6,1,1,1,1,1
RHD,1,1,1,1,1
TMEM51A,1,1,1,1,1
RHCE,1,1,1,1,1
TMEM57,1,1,1,1,1
LDLRAP1,1,1,1,1,1
RP11-71P17.1,1,1,1,1,1
MAN1C1,1,1,1,1,1
RP1-187B23.1,1,1,1,1,1
SEPN1,1,1,1,1,1
RP1-317E23.6,1,1,1,1,1
RP1-317E23.3,1,1,1,1,1
MTFR1L,1,1,1,1,1
RP1-317E23.7,1,1,1,1,1
AUNIP,1,1,1,1,1
RP1-125I3.2,1,1,1,1,1
PAQR7,1,1,1,1,1
STMN1,1,1,1,1,1
PAFAH2,1,1,1,1,1
EXTL1,1,1,1,1,1
SLC31A2,1,1,1,1,1
TRIM63,1,1,1,1,1
PDIK1L,1,1,1,1,1
FAM111D,1,1,1,1,1
RP11-96L14.8,1,1,1,1,1
RP11-96L14.7,1,1,1,1,1
ZNF593,1,1,1,1,1
CNKSR1,1,1,1,1,1
CATSPER4,1,1,1,1,1
CEP85,1,1,1,1,1
SH3BGRL3,1,1,1,1,1
UBXN11,1,1,1,1,1
CD52,1,1,1,1,1
AIM1L,1,1,1,1,1
ZNF683,1,1,1,1,1
LIN28A,1,1,1,1,1
DHDDS,1,1,1,1,1
RP3-476K8.3,1,1,1,1,1
HMGN2,1,1,1,1,1
RPS6KA1,1,1,1,1,1
RP5-968P14.2,1,1,1,1,1
ARID1A,1,1,1,1,1
PIGV,1,1,1,1,1
ZDHHC18,1,1,1,1,1
SFN,1,1,1,1,1
GPN2,1,1,1,1,1
RP1-51O24.6,1,1,1,1,1
GPATCH3,1,1,1,1,1
NUDC,1,1,1,1,1
NR1B2,1,1,1,1,1
KDF1,1,1,1,1,1
TRNP1,1,1,1,1,1
FAM46B,1,1,1,1,1
AL137861.1,1,1,1,1,1
SLC9A1,1,1,1,1,1
RP11-41H21.4,1,1,1,1,1
WDTC1,1,1,1,1,1
TMEM222,1,1,1,1,1
SYTL1,1,1,1,1,1
MAP3K6,1,1,1,1,1
FCN3,1,1,1,1,1
CD164L2,1,1,1,1,1
GPR3,1,1,1,1,1
WASF2,1,1,1,1,1
RP4-752I6.1,1,1,1,1,1
RP1-159A19.4,1,1,1,1,1
AHDC1,1,1,1,1,1
FGR,1,1,1,1,1
RP11-288L9.1,1,1,1,1,1
IFI6,1,1,1,1,1
RP11-288L9.4,1,1,1,1,1
FAM76A,1,1,1,1,1
STX12,1,1,1,1,1
PPP1R8,1,1,1,1,1
AL119927.1,1,1,1,1,1
THEMIS2,1,1,1,1,1
RPA2,1,1,1,1,1
SMPDL3B,1,1,1,1,1
RP11-461I13.2,1,1,1,1,1
XKR8,1,1,1,1,1
EYA3,1,1,1,1,1
PTAFR,1,1,1,1,1
DNAJC8,1,1,1,1,1
ATPIF1,1,1,1,1,1
RP5-1192A3.4,1,1,1,1,1
RP5-1192A3.5,1,1,1,1,1
SESN2,1,1,1,1,1
MED18,1,1,1,1,1
PHACTR4,1,1,1,1,1
RCC1,1,1,1,1,1
TRNAU1AP,1,1,1,1,1
SNHG12,1,1,1,1,1
TAF12,1,1,1,1,1
RAB42,1,1,1,1,1
RP11-442N24__B.1,1,1,1,1,1
RNU11,1,1,1,1,1
GMEB1,1,1,1,1,1
YTHDF2,1,1,1,1,1
OPRD1,1,1,1,1,1
RP1-212P9.3,1,1,1,1,1
EPB41,1,1,1,1,1
TMEM211B,1,1,1,1,1
RP11-242O24.3,1,1,1,1,1
SRSF4,1,1,1,1,1
MECR,1,1,1,1,1
RP11-467D18.2,1,1,1,1,1
PTPRU,1,1,1,1,1
RP3-437I16.1,1,1,1,1,1
RP4-656G21.1,1,1,1,1,1
RP11-111I12.1,1,1,1,1,1
RP5-893G23.1,1,1,1,1,1
RP4-591L5.1,1,1,1,1,1
RP4-591L5.2,1,1,1,1,1
MATN1,1,1,1,1,1
MATN1-AS1,1,1,1,1,1
LAPTM5,1,1,1,1,1
RP5-1125N11.1,1,1,1,1,1
RP5-1125N11.2,1,1,1,1,1
RP1-65J11.5,1,1,1,1,1
SDC3,1,1,1,1,1
PUM1,1,1,1,1,1
NKAIN1,1,1,1,1,1
SNRNP41,1,1,1,1,1
ZCCHC17,1,1,1,1,1
RP11-266K22.2,1,1,1,1,1
FABP3,1,1,1,1,1
SERINC2,1,1,1,1,1
LINC11226,1,1,1,1,1
RP11-73M7.1,1,1,1,1,1
TINAGL1,1,1,1,1,1
HCRTR1,1,1,1,1,1
PEF1,1,1,1,1,1
RP11-73M7.6,1,1,1,1,1
RP11-73M7.9,1,1,1,1,1
COL16A1,1,1,1,1,1
ADGRB2,1,1,1,1,1
RP11-84A19.3,1,1,1,1,1
SPOCD1,1,1,1,1,1
RP11-84A19.2,1,1,1,1,1
RP11-84A19.4,1,1,1,1,1
PTP4A2,1,1,1,1,1
RP4-534N18.2,1,1,1,1,1
KHDRBS1,1,1,1,1,1
RP11-277A4.4,1,1,1,1,1
TMEM39B,1,1,1,1,1
KPNA6,1,1,1,1,1
TXLNA,1,1,1,1,1
CCDC28B,1,1,1,1,1
RP4-622L5.7,1,1,1,1,1
IQCC,1,1,1,1,1
DCDC2B,1,1,1,1,1
TMEM234,1,1,1,1,1
EIF3I,1,1,1,1,1
FAM167B,1,1,1,1,1
LCK,1,1,1,1,1
HDAC1,1,1,1,1,1
MARCKSL1,1,1,1,1,1
RP4-811H24.9,1,1,1,1,1
TSSK3,1,1,1,1,1
FAM229A,1,1,1,1,1
BSDC1,1,1,1,1,1
RP1-27O5.3,1,1,1,1,1
ZBTB8B,1,1,1,1,1
ZBTB8A,1,1,1,1,1
ZBTB8OS,1,1,1,1,1
RBBP4,1,1,1,1,1
SYNC,1,1,1,1,1
RP11-114B7.6,1,1,1,1,1
KIAA1522,1,1,1,1,1
YARS,1,1,1,1,1
S111PBP,1,1,1,1,1
FNDC5,1,1,1,1,1
HPCA,1,1,1,1,1
TMEM54,1,1,1,1,1
RNF19B,1,1,1,1,1
RP1-117O3.2,1,1,1,1,1
AK2,1,1,1,1,1
AZIN2,1,1,1,1,1
TRIM62,1,1,1,1,1
ZNF362,1,1,1,1,1
RP11-415J8.7,1,1,1,1,1
A3GALT2,1,1,1,1,1
RP11-415J8.3,1,1,1,1,1
PHC2,1,1,1,1,1
RP11-415J8.5,1,1,1,1,1
ZSCAN21,1,1,1,1,1
CSMD2,1,1,1,1,1
HMGB4,1,1,1,1,1
CSMD2-AS1,1,1,1,1,1
C1orf94,1,1,1,1,1
SMIM12,1,1,1,1,1
GJB5,1,1,1,1,1
GJB4,1,1,1,1,1
RP1-34M23.5,1,1,1,1,1
GJB3,1,1,1,1,1
GJA4,1,1,1,1,1
RP5-997D16.2,1,1,1,1,1
DLGAP3,1,1,1,1,1
RP11-244H3.4,1,1,1,1,1
ZMYM6NB,1,1,1,1,1
ZMYM6,1,1,1,1,1
ZMYM1,1,1,1,1,1
SFPQ,1,1,1,1,1
ZMYM4,1,1,1,1,1
ZMYM4-AS1,1,1,1,1,1
KIAA1319L,1,1,1,1,1
NCDN,1,1,1,1,1
RP4-728D4.2,1,1,1,1,1
TFAP2E,1,1,1,1,1
PSMB2,1,1,1,1,1
C1orf216,1,1,1,1,1
CLSPN,1,1,1,1,1
RP11-435D7.3,1,1,1,1,1
AGO4,1,1,1,1,1
AGO1,1,1,1,1,1
RP4-789D17.5,1,1,1,1,1
AGO3,1,1,1,1,1
RP4-665N4.8,1,1,1,1,1
TEKT2,1,1,1,1,1
ADPRHL2,1,1,1,1,1
COL8A2,1,1,1,1,1
TRAPPC3,1,1,1,1,1
MAP7D1,1,1,1,1,1
THRAP3,1,1,1,1,1
SH3D21,1,1,1,1,1
EVA1B,1,1,1,1,1
RP11-268J15.5,1,1,1,1,1
STK41,1,1,1,1,1
LSM11,1,1,1,1,1
OSCP1,1,1,1,1,1
MRPS15,1,1,1,1,1
CSF3R,1,1,1,1,1
RP4-614N24.1,1,1,1,1,1
GRIK3,1,1,1,1,1
RP5-1181C18.1,1,1,1,1,1
LINC11137,1,1,1,1,1
ZC3H12A,1,1,1,1,1
MEAF6,1,1,1,1,1
SNIP1,1,1,1,1,1
DNALI1,1,1,1,1,1
GNL2,1,1,1,1,1
RSPO1,1,1,1,1,1
C1orf119,1,1,1,1,1
CDCA8,1,1,1,1,1
EPHA11,1,1,1,1,1
MANEAL,1,1,1,1,1
RP11-119P14.9,1,1,1,1,1
YRDC,1,1,1,1,1
C1orf122,1,1,1,1,1
MTF1,1,1,1,1,1
INPP5B,1,1,1,1,1
RP11-119P14.11,1,1,1,1,1
SF3A3,1,1,1,1,1
FHL3,1,1,1,1,1
UTP11L,1,1,1,1,1
POU3F1,1,1,1,1,1
RP5-884C9.2,1,1,1,1,1
LINC11343,1,1,1,1,1
RP11-329N22.1,1,1,1,1,1
RRAGC,1,1,1,1,1
RP5-864K19.4,1,1,1,1,1
MYCBP,1,1,1,1,1
RP5-864K19.6,1,1,1,1,1
GJA9,1,1,1,1,1
RHBDL2,1,1,1,1,1
AKIRIN1,1,1,1,1,1
NDUFS5,1,1,1,1,1
MACF1,1,1,1,1,1
RP11-421K8.1,1,1,1,1,1
BMP8A,1,1,1,1,1
RP11-69E11.4,1,1,1,1,1
PABPC4,1,1,1,1,1
RP11-69E11.8,1,1,1,1,1
HEYL,1,1,1,1,1
RP1-144F13.3,1,1,1,1,1
NT5C1A,1,1,1,1,1
HPCAL4,1,1,1,1,1
PPIE,1,1,1,1,1
BMP8B,1,1,1,1,1
OXCT2,1,1,1,1,1
RP1-118J21.25,1,1,1,1,1
TRIT1,1,1,1,1,1
MYCL,1,1,1,1,1
RP1-118J21.5,1,1,1,1,1
MFSD2A,1,1,1,1,1
